Ticker,Description,Last,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
600900,"CHINA YANGTZE POWER CO.,LTD.",22.700001,0.75454946,0.17,Strong Buy,31889449,723890524.189449,512374107334,20.00355234,1.1263,3985,Utilities
601088,CHINA SHENHUA ENERGY COMPANY LIMITED,22.52,2.6435687,0.579999,Strong Buy,39656330,893060551.6,411773796588.6657,9.4029919,2.3333,76182,Energy Minerals
002475,LUXSHARE PRECISION,49.200001,1.42239338,0.690003,Strong Buy,54164381,2664887599.364381,341918199044,48.65108615,1.03,172410,Electronic Technology
600690,HAIER SMART HOME,29.889999,0.7075438,0.209999,Strong Buy,22651788,677061920.6682119,272020712508.08588,20.78431373,1.4514,99299,Consumer Durables
600905,CHINA THREE GORGES RENEWABLES (GROUP),7.51,2.59562842,0.19,Strong Buy,527775090,3963590925.9,209139724905,,,,Utilities
600048,POLY DEVELOPMENTS AND HOLDINGS GROUP,15.63,3.50993377,0.53,Strong Buy,65405240,1022283901.2,180748641383,6.16225922,2.4504,61201,Finance
000792,QINGHAI SALT LAKE,35.389999,6.18060869,2.059997,Strong Buy,125329787,4435421036.600213,175133894221,48.85664321,0.6822,6337,Process Industries
600703,"SAN'AN OPTOELECTRONICS CO.,LTD",37.560001,2.23189699,0.819999,Strong Buy,63484228,2384467667.164228,164571007196,120.65682102,0.3045,13975,Electronic Technology
688599,TRINA SOLAR,78.900002,4.53100008,3.419999,Strong Buy,17798053,1404266417.296106,156094637138,100.43912575,0.7515,14130,Industrial Services
601688,"HUATAI SECURITIES CO.,LTD",17.76,0.39569811,0.069999,Strong Buy,61541826,1092982829.76,147362690318.91296,12.21347763,1.4484,10516,Finance
601211,GUOTAI JUNAN SECURITIES CO. LTD.,17.889999,0.16796192,0.029998,Strong Buy,29541297,528493773.78870296,146175390637.8286,11.90666733,1.5659,15198,Finance
000063,ZTE CORP,33.5,1.57671316,0.52,Strong Buy,43869013,1469611935.5,144000342681.63394,20.63055173,1.6032,73709,Electronic Technology
003816,CGN POWER CO LTD,3.13,1.95439739,0.06,Strong Buy,138641099,433946639.87,142233683265.26718,15.36536537,0.1998,18264,Utilities
600837,HAITONG SECURITIES COMPANY LIMITED,12.26,0.24529845,0.03,Strong Buy,37091203,454738148.78,137136783034.959,11.25218511,1.0869,11282,Finance
601390,CHINA RAILWAY GROUP LIMITED,5.79,1.22377622,0.07,Strong Buy,64847978,375469792.62,130455507634.34563,5.09713064,1.1222,288729,Industrial Services
002271,BEIJING ORIENTAL Y,52.68,2.53016538,1.299999,Strong Buy,16439563,866036178.84,129539507063,31.03219243,1.6557,9919,Process Industries
000877,XINJIANG T/SHAN CE,15.31,0.78999342,0.12,Strong Buy,10216857,156420080.67000002,126818354534,10.00724685,1.5179,6369,Non-Energy Minerals
000538,YUNNAN BAIYAO GRP,104.65,7.88659794,7.65,Strong Buy,18590518,1945497708.7,124076273560,33.61169826,2.9251,8131,Health Technology
